event_id,contact_key,domain,segment,channel,message_number,message_name,asset_id,campaign_id,event_date,renewal_due_date,days_to_due_at_send,sent,delivered,opened_or_read,clicked,renewed_after_message,renewal_date,revenue_mxn,message_cost_mxn,suppression_leakage_flag
EVT-0000023,AKKY-100004,cliente4.mx,Enterprise,Email,3,Renewal reminder M3,51003,AKKY-REN-2026-EM-M3,2026-04-17,2026-04-12,5,1,1,0,0,0,,0.0,0.12,0
EVT-0000024,AKKY-100004,cliente4.mx,Enterprise,WhatsApp,1,Renewal reminder M1,42447,AKKY-REN-2026-WH-M1,2026-03-13,2026-04-12,-30,1,1,1,0,0,,0.0,0.92,0
EVT-0000025,AKKY-100004,cliente4.mx,Enterprise,WhatsApp,2,Renewal reminder M2,42889,AKKY-REN-2026-WH-M2,2026-04-12,2026-04-12,0,1,0,0,0,0,,0.0,0.92,0
EVT-0000026,AKKY-100004,cliente4.mx,Enterprise,WhatsApp,3,Renewal reminder M3,43512,AKKY-REN-2026-WH-M3,2026-04-17,2026-04-12,5,1,0,0,0,0,,0.0,0.92,0
EVT-0000027,AKKY-100005,cliente5.mx,Partner,Email,2,Renewal reminder M2,51002,AKKY-REN-2026-EM-M2,2026-01-06,2026-01-06,0,1,1,1,0,0,,0.0,0.12,0
EVT-0000028,AKKY-100005,cliente5.mx,Partner,Email,3,Renewal reminder M3,51003,AKKY-REN-2026-EM-M3,2026-01-11,2026-01-06,5,1,1,1,0,0,,0.0,0.12,0
EVT-0000029,AKKY-100005,cliente5.mx,Partner,WhatsApp,2,Renewal reminder M2,42889,AKKY-REN-2026-WH-M2,2026-01-06,2026-01-06,0,1,1,1,0,1,2026-01-08,903.58,0.92,0
EVT-0000030,AKKY-100005,cliente5.mx,Partner,WhatsApp,3,Renewal reminder M3,43512,AKKY-REN-2026-WH-M3,2026-01-11,2026-01-06,5,1,1,1,0,0,,0.0,0.92,0
EVT-0000031,AKKY-100006,cliente6.mx,Enterprise,Email,1,Renewal reminder M1,51001,AKKY-REN-2026-EM-M1,2026-01-01,2026-01-31,-30,1,1,0,0,0,,0.0,0.12,0
EVT-0000032,AKKY-100006,cliente6.mx,Enterprise,Email,2,Renewal reminder M2,51002,AKKY-REN-2026-EM-M2,2026-01-31,2026-01-31,0,1,1,1,0,0,,0.0,0.12,0
EVT-0000033,AKKY-100006,cliente6.mx,Enterprise,Email,3,Renewal reminder M3,51003,AKKY-REN-2026-EM-M3,2026-02-05,2026-01-31,5,1,1,1,0,0,,0.0,0.12,0
EVT-0000034,AKKY-100006,cliente6.mx,Enterprise,WhatsApp,1,Renewal reminder M1,42447,AKKY-REN-2026-WH-M1,2026-01-01,2026-01-31,-30,1,1,1,0,0,,0.0,0.92,0
EVT-0000035,AKKY-100006,cliente6.mx,Enterprise,WhatsApp,2,Renewal reminder M2,42889,AKKY-REN-2026-WH-M2,2026-01-31,2026-01-31,0,1,1,1,0,0,,0.0,0.92,0
EVT-0000036,AKKY-100006,cliente6.mx,Enterprise,WhatsApp,3,Renewal reminder M3,43512,AKKY-REN-2026-WH-M3,2026-02-05,2026-01-31,5,1,1,1,1,0,,0.0,0.92,0
EVT-0000037,AKKY-100007,cliente7.mx,Personal,Email,1,Renewal reminder M1,51001,AKKY-REN-2026-EM-M1,2026-01-28,2026-02-27,-30,1,1,1,0,0,,0.0,0.12,0
EVT-0000038,AKKY-100007,cliente7.mx,Personal,Email,2,Renewal reminder M2,51002,AKKY-REN-2026-EM-M2,2026-02-27,2026-02-27,0,1,1,0,0,0,,0.0,0.12,0
EVT-0000039,AKKY-100007,cliente7.mx,Personal,Email,3,Renewal reminder M3,51003,AKKY-REN-2026-EM-M3,2026-03-04,2026-02-27,5,1,1,1,0,0,,0.0,0.12,0
EVT-0000040,AKKY-100007,cliente7.mx,Personal,WhatsApp,1,Renewal reminder M1,42447,AKKY-REN-2026-WH-M1,2026-01-28,2026-02-27,-30,1,1,0,0,0,,0.0,0.92,0
EVT-0000041,AKKY-100007,cliente7.mx,Personal,WhatsApp,2,Renewal reminder M2,42889,AKKY-REN-2026-WH-M2,2026-02-27,2026-02-27,0,1,1,1,1,0,,0.0,0.92,0
EVT-0000042,AKKY-100007,cliente7.mx,Personal,WhatsApp,3,Renewal reminder M3,43512,AKKY-REN-2026-WH-M3,2026-03-04,2026-02-27,5,1,1,1,0,0,,0.0,0.92,0
EVT-0000043,AKKY-100008,cliente8.mx,Personal,Email,2,Renewal reminder M2,51002,AKKY-REN-2026-EM-M2,2026-01-27,2026-01-27,0,1,1,0,0,0,,0.0,0.12,0
EVT-0000044,AKKY-100008,cliente8.mx,Personal,Email,3,Renewal reminder M3,51003,AKKY-REN-2026-EM-M3,2026-02-01,2026-01-27,5,1,1,0,0,0,,0.0,0.12,0
EVT-0000045,AKKY-100008,cliente8.mx,Personal,WhatsApp,2,Renewal reminder M2,42889,AKKY-REN-2026-WH-M2,2026-01-27,2026-01-27,0,1,1,1,0,1,2026-01-27,1323.85,0.92,0
EVT-0000046,AKKY-100008,cliente8.mx,Personal,WhatsApp,3,Renewal reminder M3,43512,AKKY-REN-2026-WH-M3,2026-02-01,2026-01-27,5,1,1,1,0,0,,0.0,0.92,0
EVT-0000047,AKKY-100009,cliente9.mx,B2B long-tail,Email,2,Renewal reminder M2,51002,AKKY-REN-2026-EM-M2,2026-01-26,2026-01-26,0,1,1,1,0,0,,0.0,0.12,0
EVT-0000048,AKKY-100009,cliente9.mx,B2B long-tail,Email,3,Renewal reminder M3,51003,AKKY-REN-2026-EM-M3,2026-01-31,2026-01-26,5,1,1,1,0,0,,0.0,0.12,0
EVT-0000049,AKKY-100009,cliente9.mx,B2B long-tail,WhatsApp,2,Renewal reminder M2,42889,AKKY-REN-2026-WH-M2,2026-01-26,2026-01-26,0,1,1,1,0,0,,0.0,0.92,0
EVT-0000050,AKKY-100009,cliente9.mx,B2B long-tail,WhatsApp,3,Renewal reminder M3,43512,AKKY-REN-2026-WH-M3,2026-01-31,2026-01-26,5,1,1,1,0,0,,0.0,0.92,0
EVT-0000051,AKKY-100010,cliente10.mx,Personal,Email,1,Renewal reminder M1,51001,AKKY-REN-2026-EM-M1,2026-01-14,2026-02-13,-30,1,1,0,0,0,,0.0,0.12,0
EVT-0000052,AKKY-100010,cliente10.mx,Personal,Email,2,Renewal reminder M2,51002,AKKY-REN-2026-EM-M2,2026-02-13,2026-02-13,0,1,0,0,0,0,,0.0,0.12,0
EVT-0000053,AKKY-100010,cliente10.mx,Personal,Email,3,Renewal reminder M3,51003,AKKY-REN-2026-EM-M3,2026-02-18,2026-02-13,5,1,0,0,0,0,,0.0,0.12,0
EVT-0000054,AKKY-100010,cliente10.mx,Personal,WhatsApp,1,Renewal reminder M1,42447,AKKY-REN-2026-WH-M1,2026-01-14,2026-02-13,-30,1,1,1,0,0,,0.0,0.92,0
EVT-0000055,AKKY-100010,cliente10.mx,Personal,WhatsApp,2,Renewal reminder M2,42889,AKKY-REN-2026-WH-M2,2026-02-13,2026-02-13,0,1,1,1,0,0,,0.0,0.92,0
EVT-0000056,AKKY-100010,cliente10.mx,Personal,WhatsApp,3,Renewal reminder M3,43512,AKKY-REN-2026-WH-M3,2026-02-18,2026-02-13,5,1,1,0,0,1,2026-02-19,1034.62,0.92,0
EVT-0000057,AKKY-100011,cliente11.mx,B2B long-tail,Email,2,Renewal reminder M2,51002,AKKY-REN-2026-EM-M2,2026-01-20,2026-01-20,0,1,1,1,0,0,,0.0,0.12,0
EVT-0000058,AKKY-100011,cliente11.mx,B2B long-tail,Email,3,Renewal reminder M3,51003,AKKY-REN-2026-EM-M3,2026-01-25,2026-01-20,5,1,1,0,0,0,,0.0,0.12,0
EVT-0000059,AKKY-100011,cliente11.mx,B2B long-tail,WhatsApp,2,Renewal reminder M2,42889,AKKY-REN-2026-WH-M2,2026-01-20,2026-01-20,0,1,1,1,0,1,2026-01-20,901.8,0.92,0
EVT-0000060,AKKY-100011,cliente11.mx,B2B long-tail,WhatsApp,3,Renewal reminder M3,43512,AKKY-REN-2026-WH-M3,2026-01-25,2026-01-20,5,1,1,1,0,0,,0.0,0.92,0
EVT-0000061,AKKY-100012,cliente12.mx,B2B long-tail,Email,2,Renewal reminder M2,51002,AKKY-REN-2026-EM-M2,2026-01-20,2026-01-20,0,1,1,0,0,1,2026-01-22,909.27,0.12,0
EVT-0000062,AKKY-100012,cliente12.mx,B2B long-tail,Email,3,Renewal reminder M3,51003,AKKY-REN-2026-EM-M3,2026-01-25,2026-01-20,5,1,1,0,0,0,,0.0,0.12,0
EVT-0000063,AKKY-100012,cliente12.mx,B2B long-tail,WhatsApp,2,Renewal reminder M2,42889,AKKY-REN-2026-WH-M2,2026-01-20,2026-01-20,0,1,1,0,0,0,,0.0,0.92,0
EVT-0000064,AKKY-100012,cliente12.mx,B2B long-tail,WhatsApp,3,Renewal reminder M3,43512,AKKY-REN-2026-WH-M3,2026-01-25,2026-01-20,5,1,1,1,0,0,,0.0,0.92,0
EVT-0000065,AKKY-100013,cliente13.mx,SMB,Email,2,Renewal reminder M2,51002,AKKY-REN-2026-EM-M2,2026-01-25,2026-01-25,0,1,1,0,0,0,,0.0,0.12,0
EVT-0000066,AKKY-100013,cliente13.mx,SMB,Email,3,Renewal reminder M3,51003,AKKY-REN-2026-EM-M3,2026-01-30,2026-01-25,5,1,1,0,0,0,,0.0,0.12,0
EVT-0000067,AKKY-100013,cliente13.mx,SMB,WhatsApp,2,Renewal reminder M2,42889,AKKY-REN-2026-WH-M2,2026-01-25,2026-01-25,0,1,1,1,0,0,,0.0,0.92,0
EVT-0000068,AKKY-100013,cliente13.mx,SMB,WhatsApp,3,Renewal reminder M3,43512,AKKY-REN-2026-WH-M3,2026-01-30,2026-01-25,5,1,1,0,0,0,,0.0,0.92,0
EVT-0000069,AKKY-100014,cliente14.mx,Personal,Email,1,Renewal reminder M1,51001,AKKY-REN-2026-EM-M1,2026-03-21,2026-04-20,-30,1,1,0,0,0,,0.0,0.12,0
EVT-0000070,AKKY-100014,cliente14.mx,Personal,Email,2,Renewal reminder M2,51002,AKKY-REN-2026-EM-M2,2026-04-20,2026-04-20,0,1,1,0,0,1,2026-04-21,929.56,0.12,0
EVT-0000071,AKKY-100014,cliente14.mx,Personal,Email,3,Renewal reminder M3,51003,AKKY-REN-2026-EM-M3,2026-04-25,2026-04-20,5,1,1,0,0,0,,0.0,0.12,0
EVT-0000072,AKKY-100014,cliente14.mx,Personal,WhatsApp,1,Renewal reminder M1,42447,AKKY-REN-2026-WH-M1,2026-03-21,2026-04-20,-30,1,0,0,0,0,,0.0,0.92,0
EVT-0000073,AKKY-100014,cliente14.mx,Personal,WhatsApp,2,Renewal reminder M2,42889,AKKY-REN-2026-WH-M2,2026-04-20,2026-04-20,0,1,1,0,0,0,,0.0,0.92,0
EVT-0000074,AKKY-100014,cliente14.mx,Personal,WhatsApp,3,Renewal reminder M3,43512,AKKY-REN-2026-WH-M3,2026-04-25,2026-04-20,5,1,1,1,0,0,,0.0,0.92,0
EVT-0000075,AKKY-100015,cliente15.mx,Partner,Email,1,Renewal reminder M1,51001,AKKY-REN-2026-EM-M1,2026-02-22,2026-03-24,-30,1,1,0,0,0,,0.0,0.12,0
EVT-0000076,AKKY-100015,cliente15.mx,Partner,Email,2,Renewal reminder M2,51002,AKKY-REN-2026-EM-M2,2026-03-24,2026-03-24,0,1,1,0,0,0,,0.0,0.12,0
EVT-0000077,AKKY-100015,cliente15.mx,Partner,Email,3,Renewal reminder M3,51003,AKKY-REN-2026-EM-M3,2026-03-29,2026-03-24,5,1,1,0,0,0,,0.0,0.12,0
EVT-0000078,AKKY-100015,cliente15.mx,Partner,WhatsApp,1,Renewal reminder M1,42447,AKKY-REN-2026-WH-M1,2026-02-22,2026-03-24,-30,1,0,0,0,0,,0.0,0.92,0
EVT-0000079,AKKY-100015,cliente15.mx,Partner,WhatsApp,2,Renewal reminder M2,42889,AKKY-REN-2026-WH-M2,2026-03-24,2026-03-24,0,1,0,0,0,0,,0.0,0.92,0
EVT-0000080,AKKY-100015,cliente15.mx,Partner,WhatsApp,3,Renewal reminder M3,43512,AKKY-REN-2026-WH-M3,2026-03-29,2026-03-24,5,1,1,1,0,0,,0.0,0.92,0
EVT-0000081,AKKY-100016,cliente16.mx,Personal,Email,1,Renewal reminder M1,51001,AKKY-REN-2026-EM-M1,2026-03-02,2026-04-01,-30,1,1,0,0,0,,0.0,0.12,0
EVT-0000082,AKKY-100016,cliente16.mx,Personal,Email,2,Renewal reminder M2,51002,AKKY-REN-2026-EM-M2,2026-04-01,2026-04-01,0,1,1,1,0,0,,0.0,0.12,0
EVT-0000083,AKKY-100016,cliente16.mx,Personal,Email,3,Renewal reminder M3,51003,AKKY-REN-2026-EM-M3,2026-04-06,2026-04-01,5,1,1,0,0,0,,0.0,0.12,0
EVT-0000084,AKKY-100016,cliente16.mx,Personal,WhatsApp,1,Renewal reminder M1,42447,AKKY-REN-2026-WH-M1,2026-03-02,2026-04-01,-30,1,1,1,0,0,,0.0,0.92,0
EVT-0000085,AKKY-100016,cliente16.mx,Personal,WhatsApp,2,Renewal reminder M2,42889,AKKY-REN-2026-WH-M2,2026-04-01,2026-04-01,0,1,1,1,0,0,,0.0,0.92,0
EVT-0000086,AKKY-100016,cliente16.mx,Personal,WhatsApp,3,Renewal reminder M3,43512,AKKY-REN-2026-WH-M3,2026-04-06,2026-04-01,5,1,1,1,0,0,,0.0,0.92,0
EVT-0000087,AKKY-100017,cliente17.mx,Enterprise,Email,1,Renewal reminder M1,51001,AKKY-REN-2026-EM-M1,2026-01-06,2026-02-05,-30,1,1,1,0,0,,0.0,0.12,0
EVT-0000088,AKKY-100017,cliente17.mx,Enterprise,Email,2,Renewal reminder M2,51002,AKKY-REN-2026-EM-M2,2026-02-05,2026-02-05,0,1,1,1,0,0,,0.0,0.12,0
EVT-0000089,AKKY-100017,cliente17.mx,Enterprise,Email,3,Renewal reminder M3,51003,AKKY-REN-2026-EM-M3,2026-02-10,2026-02-05,5,1,1,0,0,0,,0.0,0.12,0
EVT-0000090,AKKY-100017,cliente17.mx,Enterprise,WhatsApp,1,Renewal reminder M1,42447,AKKY-REN-2026-WH-M1,2026-01-06,2026-02-05,-30,1,1,0,0,0,,0.0,0.92,0
EVT-0000091,AKKY-100017,cliente17.mx,Enterprise,WhatsApp,2,Renewal reminder M2,42889,AKKY-REN-2026-WH-M2,2026-02-05,2026-02-05,0,1,1,1,0,1,2026-02-05,1082.12,0.92,0
EVT-0000092,AKKY-100017,cliente17.mx,Enterprise,WhatsApp,3,Renewal reminder M3,43512,AKKY-REN-2026-WH-M3,2026-02-10,2026-02-05,5,1,1,1,0,0,,0.0,0.92,0
EVT-0000093,AKKY-100018,cliente18.mx,Partner,Email,1,Renewal reminder M1,51001,AKKY-REN-2026-EM-M1,2026-02-01,2026-03-03,-30,1,1,0,0,0,,0.0,0.12,0
EVT-0000094,AKKY-100018,cliente18.mx,Partner,Email,2,Renewal reminder M2,51002,AKKY-REN-2026-EM-M2,2026-03-03,2026-03-03,0,1,1,1,0,0,,0.0,0.12,0
EVT-0000095,AKKY-100018,cliente18.mx,Partner,Email,3,Renewal reminder M3,51003,AKKY-REN-2026-EM-M3,2026-03-08,2026-03-03,5,1,1,1,0,0,,0.0,0.12,0
EVT-0000096,AKKY-100018,cliente18.mx,Partner,WhatsApp,1,Renewal reminder M1,42447,AKKY-REN-2026-WH-M1,2026-02-01,2026-03-03,-30,1,1,0,0,0,,0.0,0.92,0
EVT-0000097,AKKY-100018,cliente18.mx,Partner,WhatsApp,2,Renewal reminder M2,42889,AKKY-REN-2026-WH-M2,2026-03-03,2026-03-03,0,1,1,1,0,1,2026-03-03,1097.85,0.92,0
EVT-0000098,AKKY-100018,cliente18.mx,Partner,WhatsApp,3,Renewal reminder M3,43512,AKKY-REN-2026-WH-M3,2026-03-08,2026-03-03,5,1,1,1,0,0,,0.0,0.92,0
EVT-0000099,AKKY-100019,cliente19.mx,Personal,Email,1,Renewal reminder M1,51001,AKKY-REN-2026-EM-M1,2026-01-29,2026-02-28,-30,1,1,0,0,0,,0.0,0.12,0
EVT-0000100,AKKY-100019,cliente19.mx,Personal,Email,2,Renewal reminder M2,51002,AKKY-REN-2026-EM-M2,2026-02-28,2026-02-28,0,1,1,1,1,0,,0.0,0.12,0
EVT-0000101,AKKY-100019,cliente19.mx,Personal,Email,3,Renewal reminder M3,51003,AKKY-REN-2026-EM-M3,2026-03-05,2026-02-28,5,1,1,0,0,0,,0.0,0.12,0
EVT-0000102,AKKY-100019,cliente19.mx,Personal,WhatsApp,1,Renewal reminder M1,42447,AKKY-REN-2026-WH-M1,2026-01-29,2026-02-28,-30,1,1,1,0,0,,0.0,0.92,0
EVT-0000103,AKKY-100019,cliente19.mx,Personal,WhatsApp,2,Renewal reminder M2,42889,AKKY-REN-2026-WH-M2,2026-02-28,2026-02-28,0,1,1,1,0,1,2026-02-28,535.44,0.92,0
EVT-0000104,AKKY-100019,cliente19.mx,Personal,WhatsApp,3,Renewal reminder M3,43512,AKKY-REN-2026-WH-M3,2026-03-05,2026-02-28,5,1,1,1,1,0,,0.0,0.92,0
EVT-0000105,AKKY-100020,cliente20.mx,Personal,Email,1,Renewal reminder M1,51001,AKKY-REN-2026-EM-M1,2026-03-27,2026-04-26,-30,1,1,0,0,0,,0.0,0.12,0
EVT-0000106,AKKY-100020,cliente20.mx,Personal,Email,2,Renewal reminder M2,51002,AKKY-REN-2026-EM-M2,2026-04-26,2026-04-26,0,1,1,0,0,0,,0.0,0.12,0
EVT-0000107,AKKY-100020,cliente20.mx,Personal,WhatsApp,1,Renewal reminder M1,42447,AKKY-REN-2026-WH-M1,2026-03-27,2026-04-26,-30,1,1,0,0,0,,0.0,0.92,0
EVT-0000108,AKKY-100020,cliente20.mx,Personal,WhatsApp,2,Renewal reminder M2,42889,AKKY-REN-2026-WH-M2,2026-04-26,2026-04-26,0,1,1,0,0,1,2026-04-26,851.91,0.92,0
EVT-0000109,AKKY-100021,cliente21.mx,B2B long-tail,Email,1,Renewal reminder M1,51001,AKKY-REN-2026-EM-M1,2026-01-01,2026-01-31,-30,1,1,0,0,0,,0.0,0.12,0
EVT-0000110,AKKY-100021,cliente21.mx,B2B long-tail,Email,2,Renewal reminder M2,51002,AKKY-REN-2026-EM-M2,2026-01-31,2026-01-31,0,1,1,0,0,0,,0.0,0.12,0
EVT-0000111,AKKY-100021,cliente21.mx,B2B long-tail,Email,3,Renewal reminder M3,51003,AKKY-REN-2026-EM-M3,2026-02-05,2026-01-31,5,1,1,0,0,0,,0.0,0.12,0
EVT-0000112,AKKY-100021,cliente21.mx,B2B long-tail,WhatsApp,1,Renewal reminder M1,42447,AKKY-REN-2026-WH-M1,2026-01-01,2026-01-31,-30,1,1,1,0,0,,0.0,0.92,0
EVT-0000113,AKKY-100021,cliente21.mx,B2B long-tail,WhatsApp,2,Renewal reminder M2,42889,AKKY-REN-2026-WH-M2,2026-01-31,2026-01-31,0,1,1,1,0,0,,0.0,0.92,0
EVT-0000114,AKKY-100021,cliente21.mx,B2B long-tail,WhatsApp,3,Renewal reminder M3,43512,AKKY-REN-2026-WH-M3,2026-02-05,2026-01-31,5,1,1,1,0,0,,0.0,0.92,0
EVT-0000115,AKKY-100022,cliente22.mx,B2B long-tail,Email,1,Renewal reminder M1,51001,AKKY-REN-2026-EM-M1,2026-03-20,2026-04-19,-30,1,1,0,0,0,,0.0,0.12,0
EVT-0000116,AKKY-100022,cliente22.mx,B2B long-tail,Email,2,Renewal reminder M2,51002,AKKY-REN-2026-EM-M2,2026-04-19,2026-04-19,0,1,1,1,0,0,,0.0,0.12,0
EVT-0000117,AKKY-100022,cliente22.mx,B2B long-tail,Email,3,Renewal reminder M3,51003,AKKY-REN-2026-EM-M3,2026-04-24,2026-04-19,5,1,1,0,0,0,,0.0,0.12,0
EVT-0000118,AKKY-100022,cliente22.mx,B2B long-tail,WhatsApp,1,Renewal reminder M1,42447,AKKY-REN-2026-WH-M1,2026-03-20,2026-04-19,-30,1,1,1,0,0,,0.0,0.92,0
EVT-0000119,AKKY-100022,cliente22.mx,B2B long-tail,WhatsApp,2,Renewal reminder M2,42889,AKKY-REN-2026-WH-M2,2026-04-19,2026-04-19,0,1,1,0,0,0,,0.0,0.92,0
EVT-0000120,AKKY-100022,cliente22.mx,B2B long-tail,WhatsApp,3,Renewal reminder M3,43512,AKKY-REN-2026-WH-M3,2026-04-24,2026-04-19,5,1,1,1,0,0,,0.0,0.92,0
EVT-0000121,AKKY-100023,cliente23.mx,Personal,Email,1,Renewal reminder M1,51001,AKKY-REN-2026-EM-M1,2026-01-11,2026-02-10,-30,1,1,0,0,0,,0.0,0.12,0
EVT-0000122,AKKY-100023,cliente23.mx,Personal,Email,2,Renewal reminder M2,51002,AKKY-REN-2026-EM-M2,2026-02-10,2026-02-10,0,1,1,0,0,0,,0.0,0.12,0
EVT-0000123,AKKY-100023,cliente23.mx,Personal,Email,3,Renewal reminder M3,51003,AKKY-REN-2026-EM-M3,2026-02-15,2026-02-10,5,1,1,0,0,0,,0.0,0.12,0
EVT-0000124,AKKY-100023,cliente23.mx,Personal,WhatsApp,1,Renewal reminder M1,42447,AKKY-REN-2026-WH-M1,2026-01-11,2026-02-10,-30,1,1,1,0,0,,0.0,0.92,0
EVT-0000125,AKKY-100023,cliente23.mx,Personal,WhatsApp,2,Renewal reminder M2,42889,AKKY-REN-2026-WH-M2,2026-02-10,2026-02-10,0,1,1,1,0,0,,0.0,0.92,0
EVT-0000126,AKKY-100023,cliente23.mx,Personal,WhatsApp,3,Renewal reminder M3,43512,AKKY-REN-2026-WH-M3,2026-02-15,2026-02-10,5,1,1,1,0,0,,0.0,0.92,0
EVT-0000127,AKKY-100024,cliente24.mx,Enterprise,Email,1,Renewal reminder M1,51001,AKKY-REN-2026-EM-M1,2026-02-19,2026-03-21,-30,1,1,0,0,0,,0.0,0.12,0
EVT-0000128,AKKY-100024,cliente24.mx,Enterprise,Email,2,Renewal reminder M2,51002,AKKY-REN-2026-EM-M2,2026-03-21,2026-03-21,0,1,1,0,0,0,,0.0,0.12,0
EVT-0000129,AKKY-100024,cliente24.mx,Enterprise,Email,3,Renewal reminder M3,51003,AKKY-REN-2026-EM-M3,2026-03-26,2026-03-21,5,1,1,1,0,0,,0.0,0.12,0
EVT-0000130,AKKY-100024,cliente24.mx,Enterprise,WhatsApp,1,Renewal reminder M1,42447,AKKY-REN-2026-WH-M1,2026-02-19,2026-03-21,-30,1,1,1,0,0,,0.0,0.92,0
EVT-0000131,AKKY-100024,cliente24.mx,Enterprise,WhatsApp,2,Renewal reminder M2,42889,AKKY-REN-2026-WH-M2,2026-03-21,2026-03-21,0,1,1,1,1,0,,0.0,0.92,0
EVT-0000132,AKKY-100024,cliente24.mx,Enterprise,WhatsApp,3,Renewal reminder M3,43512,AKKY-REN-2026-WH-M3,2026-03-26,2026-03-21,5,1,1,1,0,0,,0.0,0.92,0
